amit;ind;;;
amité;abs;;;
amité;abs;;;
amitie;abs;;;
amitie;abs;;;
amitié;abs;;;
amitié;abs;;;
amix;ind;;;
amj;ind;;;
amme;rel-uniq;;;
ammes;rel-uniq;;;
ammiracions;abs;;;
ammiration;abs;;;
ammonition;event;;;
ammonnestemens;event;;;
amnites;abs;;;
amonestament;event;;;
amonestemant;event;;;
amonestement;event;;;
amonestemenz;event;;;
amonestien;abs;;;
amonicion;event;;;
amonnesteire;ind;;;
amonnestement;event;;;
amonnesteor;ind;;;
amont;ind;ne sachant pas hors contexte si c'est un adv ou un nom, je supprimerais;;
amont;ind;;;
Amor;abs;;;
amor;abs;;;
amorous;ind;;;
amorous;ind;;;
Amors;abs;;;
amors;abs;;;
amorse;abs;;;
Amour;abs;;;
amour;abs;;;
Amour;abs;;;
amour;abs;;;
amourettes;abs;;;
amourettes;abs;;;
amoureus;ind;;;
amoureuse;ind;;;
amoureux;ind;;;
Amours;abs;;;
amours;abs;;;
Amours;abs;;;
amours;abs;;;
ampaigne;mass;;;
amparliers;ind;;;
amperedor;rel-uniq;;;
ampirie;?;;;
amplaistes;ind;;;
amplaistre;ind;;;
amplece;abs;;;
amplece;abs;;;
ampleteiz;abs;;;
ampole;ind;;;
ampoles;ind;;;
ampolete;ind;;;
ampolles;ind;;;
amuaffle;?;;;
amunt;ind;ne sachant pas hors contexte si c'est un adv ou un nom, je supprimerais;;
ámunt;ind;;;
amuntant;?;;;
amunte;ind;;;
AMUR;abs;;;
Amur;abs;;;
amur;abs;;;
amúr;abs;;;
amúr;abs;;;
amurafle;abs;;;
amurafle;abs;;;
amurafles;abs;;;
amurafles;abs;;;
Amurs;abs;;;
amurs;abs;;;
Amurs;abs;;;
amurs;abs;;;
Amy;ind;;;
amy;ind;;;
amye;ind;;;
amys;ind;;;
amytié;abs;;;
amytié;abs;;;
an;ind;;;
án;ind;;;
anacorittes;ind;;;
aname;rel-uniq;;;
anames;rel-uniq;;;
Anancitis;na;;;
anatemaz;?;;;
anatheme;?;;;
Anatida;?;;;
anbarquemant;event;;;
anbasadeurs;ind;;;
anblé;?;;;
anbleüre;abs;;;
anbleüre;abs;;;
anbracemenz;event;;;
anbrasades;event;;;
ance;rel-uniq;anse;;
anceisor;ind;;;
anceisur;ind;;;
anceisurs;ind;;;
ancele;ind;;;
anceles;ind;;;
ancelle;ind;;;
ancelles;ind;;;
ancensers;ind;;;
ancenssier;ind;;;
ancesorie;mass;;;
ancesorie;mass;;;
ancesors;ind;;;
ancesserie;mass;;;
ancesserie;mass;;;
ancesseurs;ind;;;
ancessor;ind;;;
ancessors;ind;;;
ancestra;ind;;;
ancestre;ind;;;
ancestres;ind;;;
ancestrës;ind;;;
ancesur;ind;;;
ancesurs;ind;;;
anchalz;ind;;;
anchantemant;abs;;;
anchantement;abs;;;
anchanteors;ind;;;
anchauz;event;;;
ancheles;ind;;;
anchi?seurs;ind;ancêtre;;
anchisieurs;ind;ancêtre;;
ancïeneté;abs;;;
ancienneté;abs;;;
ancienneté;abs;;;
anciens;ind;;;
ancïens;ind;;;
ANCÏENS;ind;;;
ancienté;abs;;;
ancïenur;ind;;;
anciien;ind;;;
anciiens;ind;;;
anclumes;ind;;;
ancontre;ind;;;
ancre;ind;;;
ancres;ind;;;
ancune=fieie;?;;;
andanteüre;mass;;;
andemain;rel-uniq;;;
anderoit;ind;;;
andices;abs;;;
Androdamas;na;;;
Androdamma;na;;;
androis;ind;;;
androit;ind;;;
Ane;ind;;;
aneau;ind;;;
aneaulx;ind;;;
aneaus;ind;;;
aneaz;ind;;;
anee;ind;;;
anees;ind;;;
Anel;ind;;;
anel;ind;;;
anelet;ind;;;
anelius;ind;;;
anels;ind;;;
anema;ind;;;
aneme;ind;;;
anemes;ind;;;
anemi;ind;;;
Anemi;ind;;;
anemi;ind;;;
anemie;ind;;;
anemin;ind;;;
anemins;ind;;;
anemis;ind;;;
anemy;ind;;;
aneus;ind;;;
anfance;abs;;;
anfans;ind;;;
anfant;ind;;;
anfanz;ind;;;
anfer;uniq;;;
anfer;uniq;;;
anfermerie;ind;;;
anfermerie;ind;;;
anfermetét;abs;;;
anfermetét;abs;;;
anfermetez;abs;;;
anferté;abs;;;
anfiles;?;;;
angaigne;?;;;
ange;ind;;;
angel;ind;;;
Angele;ind;;;
angele;ind;;;
Angeles;ind;;;
angeles;ind;;;
angenemant;event;;;
anges;ind;;;
Angevin;ind;;;
angevins;ind;;;
Angevins;ind;;;
angien;ind;;;
